Rank,Product_name,Ratings,Num_ratings,Num_reviews,DP,MRP,Remarks,Link
rank,product name,stars,ratings,reviews,price,net price,remarks,link
34,"Honor 8C (Blue, 64 GB)",4.3,13772,1218,9999,14999,,https://www.flipkart.com/honor-8c-blue-64-gb/p/itmfc8c4fsekrpdp?pid=MOBFC7Z594HP6HZN&srno=b_2_34&otracker=browse&lid=LSTMOBFC7Z594HP6HZNTTGJNW&fm=organic&iid=94fe542b-9627-476b-be1c-7272cd50905f.MOBFC7Z594HP6HZN.SEARCH&ssid=gxv37om14w0000001566802205457
35,"Redmi Go (Blue, 16 GB)",4.3,109388,9087,4799,5999,,https://www.flipkart.com/redmi-go-blue-16-gb/p/itmfgqsaszhhyyy6?pid=MOBFGQSAQYYGFNSB&srno=b_2_35&otracker=browse&lid=LSTMOBFGQSAQYYGFNSBV2PHLI&fm=organic&iid=110dff2e-47fd-49fd-a43c-c971a858cc19.MOBFGQSAQYYGFNSB.SEARCH&ssid=gxv37om14w0000001566802205457
36,"Infinix Hot 7 (Midnight Black, 64 GB)",4.2,10510,1476,7999,9999,,https://www.flipkart.com/infinix-hot-7-midnight-black-64-gb/p/itmfhvqduy3nrcuu?pid=MOBFHVQDJABWUVCV&srno=b_2_36&otracker=browse&lid=LSTMOBFHVQDJABWUVCVLRYA3F&fm=organic&iid=816bd066-d5ec-48d7-9fe1-db58503d9f62.MOBFHVQDJABWUVCV.SEARCH&ssid=gxv37om14w0000001566802205457
37,"Realme 3 (Radiant Blue, 64 GB)",4.5,295144,30092,9999,11999,,https://www.flipkart.com/realme-3-radiant-blue-64-gb/p/itmfe68wrbfnzqwz?pid=MOBFFVFD84FXJTXH&srno=b_2_37&otracker=browse&lid=LSTMOBFFVFD84FXJTXHFZNGKZ&fm=organic&iid=3596a22b-2ee2-421d-b410-11d19f14c907.MOBFFVFD84FXJTXH.SEARCH&ssid=gxv37om14w0000001566802205457
38,"Realme 3 (Dynamic Black, 64 GB)",4.4,126911,12700,10999,12999,,https://www.flipkart.com/realme-3-dynamic-black-64-gb/p/itmfe68wrbfnzqwz?pid=MOBFE68WEPGFF2TV&srno=b_2_38&otracker=browse&lid=LSTMOBFE68WEPGFF2TVXO4GNH&fm=organic&iid=b792d7fa-1fd3-4820-9783-11668fa4e19d.MOBFE68WEPGFF2TV.SEARCH&ssid=gxv37om14w0000001566802205457
39,"Realme 3 (Diamond Red, 32 GB)",4.5,295144,30092,8999,10999,,https://www.flipkart.com/realme-3-diamond-red-32-gb/p/itmfe68wrbfnzqwz?pid=MOBFGQQYMZEZTRBS&srno=b_2_39&otracker=browse&lid=LSTMOBFGQQYMZEZTRBSBCOMU7&fm=organic&iid=f6a5040b-6163-4823-b203-9d66e765c1c5.MOBFGQQYMZEZTRBS.SEARCH&ssid=gxv37om14w0000001566802205457
40,"Realme 3 (Radiant Blue, 64 GB)",4.4,126911,12700,10999,12999,,https://www.flipkart.com/realme-3-radiant-blue-64-gb/p/itmfe68wrbfnzqwz?pid=MOBFE68WMCYD5SRT&srno=b_2_40&otracker=browse&lid=LSTMOBFE68WMCYD5SRTCRBDHW&fm=organic&iid=113344f3-1072-4f75-bfeb-44c4fe6a4fa4.MOBFE68WMCYD5SRT.SEARCH&ssid=gxv37om14w0000001566802205457
41,"Realme C2 (Diamond Black, 32 GB)",4.4,272138,26701,6999,7999,,https://www.flipkart.com/realme-c2-diamond-black-32-gb/p/itmfgwba8kmejqpe?pid=MOBFHBZ4MDMCNHNK&srno=b_2_41&otracker=browse&lid=LSTMOBFHBZ4MDMCNHNKLFWSSU&fm=organic&iid=7bc19a7c-400f-438c-9906-d0278c2d685c.MOBFHBZ4MDMCNHNK.SEARCH&ssid=gxv37om14w0000001566802205457
42,"Realme C2 (Diamond Blue, 32 GB)",4.4,272138,26701,6999,7999,,https://www.flipkart.com/realme-c2-diamond-blue-32-gb/p/itmfgwba8kmejqpe?pid=MOBFHBZ4ZQB3CTZW&srno=b_2_42&otracker=browse&lid=LSTMOBFHBZ4ZQB3CTZWKADJDS&fm=organic&iid=9d9efdf1-8cb9-4c5a-8c7b-d292607620d0.MOBFHBZ4ZQB3CTZW.SEARCH&ssid=gxv37om14w0000001566802205457
43,"Realme C2 (Diamond Blue, 32 GB)",4.4,23865,2049,7999,8999,,https://www.flipkart.com/realme-c2-diamond-blue-32-gb/p/itmfgwba8kmejqpe?pid=MOBFFMG3NH25KFVW&srno=b_2_43&otracker=browse&lid=LSTMOBFFMG3NH25KFVW6RN430&fm=organic&iid=99ef59ec-3cb1-4d1f-a218-cf5cefd0f31d.MOBFFMG3NH25KFVW.SEARCH&ssid=gxv37om14w0000001566802205457
44,"Realme C2 (Diamond Black, 32 GB)",4.4,23865,2049,7999,8999,,https://www.flipkart.com/realme-c2-diamond-black-32-gb/p/itmfgwba8kmejqpe?pid=MOBFFMG35CZCFEFF&srno=b_2_44&otracker=browse&lid=LSTMOBFFMG35CZCFEFFSB3UZP&fm=organic&iid=718d14fc-20c6-46c2-bba8-fdc1aa4b76f2.MOBFFMG35CZCFEFF.SEARCH&ssid=gxv37om14w0000001566802205457
45,"OPPO A3s (Red, 16 GB)",4.3,10855,1064,6990,11990,,https://www.flipkart.com/oppo-a3s-red-16-gb/p/itmfcmuvhzthsyzw?pid=MOBF7FNVWXNGRSZK&srno=b_2_45&otracker=browse&lid=LSTMOBF7FNVWXNGRSZKJGSPMB&fm=organic&iid=925d9cc3-2a1f-4c94-82e9-278ff6b566cd.MOBF7FNVWXNGRSZK.SEARCH&ssid=gxv37om14w0000001566802205457
46,"Honor 8C (Blue, 32 GB)",4.3,13772,1218,7999,12999,,https://www.flipkart.com/honor-8c-blue-32-gb/p/itmfc8c4fsekrpdp?pid=MOBFCYZ9CCKNPH75&srno=b_2_46&otracker=browse&lid=LSTMOBFCYZ9CCKNPH75SACKCK&fm=organic&iid=d0d01004-74f9-4ff7-b6d6-4e72e19c7600.MOBFCYZ9CCKNPH75.SEARCH&ssid=gxv37om14w0000001566802205457
47,"Redmi Note 7 Pro (Nebula Red, 64 GB)",4.5,379569,35751,13999,15999,,https://www.flipkart.com/redmi-note-7-pro-nebula-red-64-gb/p/itmferghuf9ky6ru?pid=MOBFDXZ3UJJ7ETTE&srno=b_2_47&otracker=browse&lid=LSTMOBFDXZ3UJJ7ETTE9Q75RN&fm=organic&iid=db0d77fb-45fa-45ce-8f13-6cb237d6bc0e.MOBFDXZ3UJJ7ETTE.SEARCH&ssid=gxv37om14w0000001566802205457
48,"Redmi 7A (Matte Black, 16 GB)",4.4,65524,4620,5999,6499,,https://www.flipkart.com/redmi-7a-matte-black-16-gb/p/itmfhz4cp9dksyha?pid=MOBFHZ4B6X8WPSRK&srno=b_2_48&otracker=browse&lid=LSTMOBFHZ4B6X8WPSRK1HA0JJ&fm=organic&iid=3ce165ee-5822-4ba2-abcb-456464256edc.MOBFHZ4B6X8WPSRK.SEARCH&ssid=gxv37om14w0000001566802205457
49,"Realme 2 Pro (Blue Ocean, 64 GB)",4.5,319079,38775,10990,13990,,https://www.flipkart.com/realme-2-pro-blue-ocean-64-gb/p/itmf944x6fh8uzjy?pid=MOBF944XVM3EMXTV&srno=b_3_49&otracker=browse&lid=LSTMOBF944XVM3EMXTVYGI7ZM&fm=organic&iid=0f47405d-df00-4ca6-9566-31eaa895ff82.MOBF944XVM3EMXTV.SEARCH&ssid=vhnczg9ff40000001566802208210
50,"Vivo V15 (Aqua Blue, 64 GB)",4.4,13252,1200,19990,26990,,https://www.flipkart.com/vivo-v15-aqua-blue-64-gb/p/itmfgzghnmpchy6y?pid=MOBFFH45GVCDABHJ&srno=b_3_50&otracker=browse&lid=LSTMOBFFH45GVCDABHJALN7F0&fm=organic&iid=500ae631-50ca-45bd-bb30-20e44e340c8b.MOBFFH45GVCDABHJ.SEARCH&ssid=vhnczg9ff40000001566802208210
51,"Honor 9N (Sapphire Blue, 32 GB)",4.4,212616,21138,7999,13999,,https://www.flipkart.com/honor-9n-sapphire-blue-32-gb/p/itmf9pgsehv6nmss?pid=MOBF6NAR36DUGTAG&srno=b_3_51&otracker=browse&lid=LSTMOBF6NAR36DUGTAGMDQLXY&fm=organic&iid=1e7e1566-7970-4f57-8951-afb272a75749.MOBF6NAR36DUGTAG.SEARCH&ssid=vhnczg9ff40000001566802208210
52,"Realme 2 Pro (Ice Lake, 64 GB)",4.5,319079,38775,10990,13990,,https://www.flipkart.com/realme-2-pro-ice-lake-64-gb/p/itmf944x6fh8uzjy?pid=MOBF944XFK8NHXMY&srno=b_3_52&otracker=browse&lid=LSTMOBF944XFK8NHXMYCHSEES&fm=organic&iid=4aae0641-92ec-4379-ba03-4a3d8b545f5a.MOBF944XFK8NHXMY.SEARCH&ssid=vhnczg9ff40000001566802208210
53,"Infinix Smart 3 Plus (Mocha Brown, 32 GB)",4.2,34384,5000,6999,7999,,https://www.flipkart.com/infinix-smart-3-plus-mocha-brown-32-gb/p/itmffnu4txbsjzem?pid=MOBFGAYY4YXPXYCW&srno=b_3_53&otracker=browse&lid=LSTMOBFGAYY4YXPXYCWSH6OMB&fm=organic&iid=2018ee4d-63ef-4b8b-8e15-5829a4829b8a.MOBFGAYY4YXPXYCW.SEARCH&ssid=vhnczg9ff40000001566802208210
54,"Honor 9i (Aurora Blue, 64 GB)",4.3,59522,9550,8999,19999,,https://www.flipkart.com/honor-9i-aurora-blue-64-gb/p/itmexnp94kcvdnqw?pid=MOBEXNP92WMQUKHB&srno=b_3_54&otracker=browse&lid=LSTMOBEXNP92WMQUKHBW0KJNU&fm=organic&iid=4b794e55-1863-46ad-97fb-41b374f2329f.MOBEXNP92WMQUKHB.SEARCH&ssid=vhnczg9ff40000001566802208210
55,"Redmi 7A (Matte Gold, 16 GB)",4.4,65524,4620,5999,6499,,https://www.flipkart.com/redmi-7a-matte-gold-16-gb/p/itmfhz4cwh6ga73v?pid=MOBFHZ4BB95WRGT4&srno=b_3_55&otracker=browse&lid=LSTMOBFHZ4BB95WRGT4WPKGF6&fm=organic&iid=44c63deb-b395-41d4-bbd6-16c70e38b191.MOBFHZ4BB95WRGT4.SEARCH&ssid=vhnczg9ff40000001566802208210
56,"Vivo Y15 (Aqua Blue, 64 GB)",4.4,5011,397,13990,15990,,https://www.flipkart.com/vivo-y15-aqua-blue-64-gb/p/itmfgadf77s87w8x?pid=MOBFGQQYZMGHMQZH&srno=b_3_56&otracker=browse&lid=LSTMOBFGQQYZMGHMQZHES4HHJ&fm=organic&iid=734aab32-ce7f-424b-a0e4-55e2852e263e.MOBFGQQYZMGHMQZH.SEARCH&ssid=vhnczg9ff40000001566802208210
57,"Redmi Y3 (Prime Black, 32 GB)",4.3,3823,282,9119,11999,,https://www.flipkart.com/redmi-y3-prime-black-32-gb/p/itmfhjdfnedmrgaz?pid=MOBFFWJW9JH4GWWF&srno=b_3_57&otracker=browse&lid=LSTMOBFFWJW9JH4GWWFX5Z2HL&fm=organic&iid=c28cd0d8-edbf-4dc8-92a8-bc1d23a62a9f.MOBFFWJW9JH4GWWF.SEARCH&ssid=vhnczg9ff40000001566802208210
58,"Redmi Y3 (Elegant Blue, 64 GB)",4.4,1060,83,12245,13999,,https://www.flipkart.com/redmi-y3-elegant-blue-64-gb/p/itmfhjdfnedmrgaz?pid=MOBFFWJWYHFQSHM6&srno=b_3_58&otracker=browse&lid=LSTMOBFFWJWYHFQSHM6QJOO66&fm=organic&iid=804a2149-e4b7-4c5e-b5cb-f55c7c677555.MOBFFWJWYHFQSHM6.SEARCH&ssid=vhnczg9ff40000001566802208210
59,"Vivo Y91 (Starry Black, 32 GB)",4.4,4412,320,9990,10990,,https://www.flipkart.com/vivo-y91-starry-black-32-gb/p/itmfgpgks4fzr5z3?pid=MOBFGPGJZZHDUSN9&srno=b_3_59&otracker=browse&lid=LSTMOBFGPGJZZHDUSN9CIQVQ7&fm=organic&iid=0b81ba9c-2191-408b-af25-4cd4b80b5747.MOBFGPGJZZHDUSN9.SEARCH&ssid=vhnczg9ff40000001566802208210
