Location,Latitude,Longitude
Panagar,23.2883123,79.9870026
Muragachha,22.6931698,88.4101652
Bissam Cuttack,19.5072342,83.4922153
Hoovina Hadagalli,15.0173645,75.9170506
Raasi Cement Factory Wazirabad,37.2811053,127.0507571
Vellore District,12.7281678,78.5356711
Kharijapikon,26.0226448,90.6373702
Jamkhandi,16.5047611,75.2808979
Pandare Midc,37.2811053,127.0507571
Kalaburgi,17.338993,76.7698997
Valsad,20.6066896,72.8599522
Raman,37.2811053,127.0507571
Ranga Reddy District,17.2738332,76.9839376
Andipalayam,11.0877274,77.2986448
Siruguppa,15.629835,76.8826097
Dehu Road,18.6860033,73.7129824
Vittal,37.2811053,127.0507571
Meenad,8.8509048,76.6870746
Porayar,11.0186697,79.8264808
Loha,37.2811053,127.0507571
Mandrem,15.6669404,73.702715
Murgud,16.3960511,74.183979
Machilipatnam,16.1858992,81.0956998
Hatti Gold Mines,16.1977693,76.6343554
Hinjilicut,19.4820467,84.7093604
Dera Gopipur,31.8809725,76.20144
Bahraich District,27.7313501,80.857808
Pattambi,10.805648,76.1725579
Chengannur,9.324536,76.5950488
Hariyawan,27.5192239,80.1661503
Mihijam,23.8482509,86.8395405
Naranammalpuram,8.7608991,77.7331209
Bettiah,26.800863,84.4787291
Lodhikheda,21.5810465,78.8546061
Kakinada,16.9767692,82.1771922
Maheshwaram,17.1332551,78.4103152
Kaushambi,25.3590343,81.3959884
Majra Jhajjar District,28.6695409,76.4447378
Dindigul,10.3640572,77.9389147
Parvathipuram,18.774891,83.4140557
Shirala,16.9865515,74.1121815
Ghaziabad,28.699581,77.254943
Nasirabad,26.3047197,74.6889158
Chandisar,24.2139621,72.2908544
Ariyappampalayam,11.4514055,77.219643
Tiruvannamalai,12.2408546,79.0342331
Punjai Thottakurichi,11.0737616,78.030181
Khargupur,27.3667247,81.9841002
Dachigam,37.2811053,127.0507571
Imphal West,24.7484745,93.607148
Keonjhar,21.6473683,85.5672734
Mohpa,37.2811053,127.0507571
Sardarshahar,28.4404174,74.4761954
Kanhe Industrial Area,37.2811053,127.0507571
Dehri On Sone,24.9129421,84.1415207
Umri,37.2811053,127.0507571
Gvmc Adukkamparai,37.2811053,127.0507571
Mokeri,11.7851555,75.5406715
Bhatinda,30.2087515,74.8886466
Mantralayam,15.9405323,77.4161267
Deori Sagar District,23.3917949,79.01026
Mandvi,22.8399868,69.3278
Paloncha,17.5987616,80.667072
Aminagad,16.0566187,75.9377789
Seohara,29.2049534,78.5711176
Tirupati,13.6276132,79.2847143
Ladwa,29.9937069,77.0294378
Maina Maujpur,37.2811053,127.0507571
Kurumathoor,12.0333176,75.4055641
Nizamabad District,18.6803807,78.0256294
Pillanallur,11.4293626,78.1246483
Chalakudy,10.3081258,76.314039
Payakaraopeta,17.3652769,82.5432039
Eluru,16.7152177,81.0679665
Merta City,26.6506217,74.0124891
Milki,37.2811053,127.0507571
Kaniha,37.2811053,127.0507571
Alipurduar I,37.2811053,127.0507571
Panna District,24.4741014,79.6462274
Birbhum District,24.0612795,86.9951817
Mulanur,10.7933019,77.692201
Kiliyanur,12.1079035,79.7407866
Haveri,14.796396,75.3844498
Doiwala,30.1794091,78.1051109
Manoharpur,37.2811053,127.0507571
Jadcharla,16.7599594,78.1198094
Sohagpur,22.6997122,78.1873583
Amlai,23.199306,81.5482854
Kodaikanal,10.2351493,77.4618524
Chegunta,17.9708213,78.4529186
Marigaon,26.2519681,92.3221921
Nilaiyur,37.2811053,127.0507571
Gandhidham,23.0702616,70.0486539
Puruliya,23.3307423,86.3273686
Kagaznagar,19.3534594,79.466332
Bankura,23.2291572,87.0280263
Nayudupet,13.9027039,79.8740993
Nadia,37.2811053,127.0507571
Vedasandur,10.5302072,77.94007
Anjar,33.7285259,35.9171457
Sidhi,24.3995766,81.8503607
Bilhair,37.2811053,127.0507571
Kauria Ganj,27.8565922,78.3025753
Pinjore,37.2811053,127.0507571
Edavilangu,10.2402586,76.1630309
Parikshitgarh,28.9773957,77.9146955
Mughalsarai,25.2815062,83.1014984
Kannamangalam Alappuzha District,9.2161059,76.4943886
Sambalpur  District,21.5506334,83.7289528
Damua,22.1900512,78.4471839
Tirodi,21.6816592,79.7078803
Mundra,22.8008339,69.6343492
Ner,37.2811053,127.0507571
Dakshin Baguan,22.317775,87.8302377
Wadi,37.2811053,127.0507571
Bambolim,15.4616325,73.8422904
Vaghodia,22.3055642,73.3930063
Robertsganj,24.6841779,83.0311054
Adinad,9.0711082,76.499191
Dongargaon,20.9706956,80.8324669
Karera,37.2811053,127.0507571
Gagret Industrial Area,37.2811053,127.0507571
Ntpc Tanda Colony,37.2811053,127.0507571
Unnao District,26.5661535,79.9892909
Narayangarh,37.2811053,127.0507571
Arrah,25.5576363,84.6350628
Nainital District,29.29927,78.856746
Mahoba,25.2949736,79.8340435
Hodal,27.8925606,77.3393204
Niwas,37.2811053,127.0507571
Gangarampur,25.4040834,88.4956021
Umarga Midc,37.2811053,127.0507571
"Karimpur,",23.9773697,88.6110232
Pethapur,23.2649661,72.6504118
Takhlibilar Pathar,26.513134,90.9907153
Indapur,18.1095028,75.0003423
Barauni Ioc Township,25.4180859,86.119402
Khandala Midc,37.2811053,127.0507571
Yelburga,15.6134191,76.0030974
Parli Vai.j,37.2811053,127.0507571
Bokaro,23.667452,86.0490821
Virar,19.4625693,72.7348968
Jogendranagar,23.8098621,91.2849693
